Publisher,PubYear,DOI
World Scientific Publishing,2023,3
Cambridge University Press (CUP),2021,3
Cambridge University Press (CUP),2020,3
Consejo Nacional de Universidades,2016,3
American Physical Society (APS),2018,3
American Physical Society (APS),2017,3
American Physical Society (APS),2020,3
American Meteorological Society,2019,3
Emerald,2021,2
Copernicus Publications,2022,2
American Society of Agricultural and Biological Engineers (ASABE),2023,2
Canadian Science Publishing,2023,2
American Astronomical Society,2019,2
American Association for the Advancement of Science (AAAS),2023,2
The Royal Society,2022,2
American Association for the Advancement of Science (AAAS),2020,2
Centers for Disease Control and Prevention (CDC),2016,2
De Gruyter,2022,2
American Society of Agricultural and Biological Engineers (ASABE),2020,2
Airiti Press,2018,2
The Royal Society,2019,2
The Royal Society,2016,2
International Union of Crystallography (IUCr),2017,2
IOS Press,2017,2
Portland Press,2019,2
Mary Ann Liebert,2021,2
Mary Ann Liebert,2018,2
International Union of Crystallography (IUCr),2023,2
American Physical Society (APS),2019,2
American Physiological Society,2020,2
American Physiological Society,2019,2
American Physiological Society,2023,2
Iowa State University,2021,2
Optica Publishing Group,2021,2
American Meteorological Society,2022,2
World Scientific Publishing,2020,2
Society for the Study of Amphibians and Reptiles,2018,2
Portland Press,2018,2
Portland Press,2017,2
American Physical Society (APS),2021,2
Karger Publishers,2019,2
Emerald,2022,2
American Registry of Professional Animal Scientists,2017,2
American Vacuum Society,2021,2
American Psychological Association (APA),2021,2
American Psychological Association (APA),2020,2
Hindawi,2021,2
American Astronomical Society,2016,2
The Company of Biologists,2023,2
The Company of Biologists,2018,2
The American Association of Immunologists,2023,2
American Dairy Science Association,2021,2
eLife,2020,2
Rockefeller University Press,2021,2
American Geophysical Union (AGU),2023,2
Scientific Societies,2021,2
Emerald,2018,2
American Psychological Association (APA),2023,2
ASME International,2022,2
ASME International,2018,2
Hindawi,2023,2
Centers for Disease Control and Prevention (CDC),2021,1
Chelonian Conservation and Biology Journal,2020,1
Cold Spring Harbor Laboratory,2017,1
Copernicus Publications,2019,1
EDP Sciences,2016,1
De Gruyter,2021,1
Copernicus Publications,2023,1
Torrey Botanical Society,2021,1
The Electrochemical Society,2022,1
Waterbird Society,2019,1
American Association of Avian Pathologists (AAAP),2021,1
American Association for the Advancement of Science (AAAS),2017,1
American Association for Cancer Research (AACR),2021,1
EDP Sciences,2017,1
EDP Sciences,2022,1
Emerald,2023,1
Global Science Press,2016,1
GigaScience Press,2022,1
Chelonian Conservation and Biology Journal,2016,1
Trans Tech Publications,2019,1
Ubiquity Press,2020,1
American Association for the Advancement of Science (AAAS),2022,1
American Association for the Advancement of Science (AAAS),2018,1
The Royal Society,2020,1
ASME International,2019,1
Airiti Press,2017,1
The Institute of Brewing & Distilling,2016,1
Lepidopterists' Society,2023,1
Life Science Alliance,2022,1
American Society for Horticultural Science,2016,1
American Society for Horticultural Science,2017,1
IOS Press,2020,1
American Society for Horticultural Science,2018,1
IWA Publishing,2017,1
IOS Press,2023,1
Institution of Engineering and Technology (IET),2019,1
Institution of Engineering and Technology (IET),2020,1
Institute of Mathematical Statistics,2022,1
Institution of Engineering and Technology (IET),2016,1
International Association for Food Protection,2020,1
American Vacuum Society,2019,1
International Union of Crystallography (IUCr),2018,1
International Press of Boston,2018,1
American Registry of Professional Animal Scientists,2020,1
American Society for Cell Biology (ASCB),2017,1
Association for Computing Machinery (ACM),2021,1
American Vacuum Society,2022,1
Annual Reviews,2017,1
Annual Reviews,2016,1
Annual Reviews,2019,1
Annual Reviews,2018,1
American Society for Cell Biology (ASCB),2018,1
BMJ,2019,1
American Society of Plant Taxonomists,2017,1
American Society of Plant Taxonomists,2016,1
American Society of Plant Taxonomists,2022,1
American Vacuum Society,2018,1
American Society for Clinical Investigation,2021,1
American Society for Cell Biology (ASCB),2023,1
American Society for Pharmacology & Experimental Therapeutics (ASPET),2023,1
Hindawi,2019,1
American Society of Agricultural and Biological Engineers (ASABE),2017,1
Hindawi,2017,1
Environmental Health Perspectives,2021,1
Emerald,2020,1
American Society of Hematology,2021,1
American Psychological Association (APA),2022,1
F1000Research,2020,1
Naturalis Biodiversity Center,2019,1
Natural Areas Journal,2018,1
Mary Ann Liebert,2019,1
Mary Ann Liebert,2022,1
Mary Ann Liebert,2020,1
Microbiology Society,2021,1
Microbiology Society,2019,1
PeerJ,2017,1
PeerJ,2018,1
PeerJ,2019,1
OMICS International,2016,1
American Meteorological Society,2021,1
JMIR Publications,2023,1
Open Exploration Publishing,2023,1
Karger Publishers,2021,1
Japan Institute of Metals,2019,1
Journal of Biological Methods,2016,1
Kansas Entomological Society,2020,1
Karger Publishers,2016,1
Iowa State University,2019,1
Ivyspring International Publisher,2022,1
Karger Publishers,2020,1
Karger Publishers,2018,1
Beilstein Institut,2019,1
Bio-Protocol,2023,1
Bioscientifica,2020,1
Brill Academic Publishers,2019,1
Brill Academic Publishers,2023,1
American Institute of Mathematical Sciences (AIMS),2023,1
American Mathematical Society (AMS),2023,1
American Meteorological Society,2017,1
American Meteorological Society,2020,1
Resilience Alliance,2018,1
PeerJ,2021,1
PeerJ,2022,1
Physical Society of Japan,2020,1
PeerJ,2023,1
Portland Press,2016,1
Portland Press,2023,1
American Physiological Society,2022,1
American Physiological Society,2016,1
American Physical Society (APS),2023,1
American Physical Society (APS),2022,1
Mineralogical Society of America,2019,1
Microbiology Society,2023,1
University of California Press,2017,1
Cold Spring Harbor Laboratory,2023,1
American Dairy Science Association,2023,1
American Fern Society,2020,1
American Geophysical Union (AGU),2017,1
American Society for Horticultural Science,2020,1
American Society for Horticultural Science,2019,1
BMJ,2023,1
University of Notre Dame,2022,1
University of Toronto Press,2023,1
Wolters Kluwer,2023,1
World Scientific Publishing,2016,1
World Scientific Publishing,2017,1
World Scientific Publishing,2019,1
World Scientific Publishing,2021,1
Resilience Alliance,2021,1
Rockefeller University Press,2019,1
Sciaccess Publishers,2017,1
American Astronomical Society,2023,1
Scientific Societies,2022,1
American Society for Microbiology,2019,1
eLife,2018,1
Cambridge University Press (CUP),2017,1
The American Association of Immunologists,2019,1
The Electrochemical Society,2021,1
eLife,2019,1
Society for the Study of Amphibians and Reptiles,2021,1
Stichting SciPost,2021,1
eLife,2022,1
Wilson Ornithological Society,2018,1
Wildlife Disease Association,2021,1
Wildlife Disease Association,2018,1
Wildlife Disease Association,2017,1
eLife,2021,1
American Astronomical Society,2018,1
eLife,2023,1
American Association of Physics Teachers (AAPT),2020,1
American Association of Physics Teachers (AAPT),2019,1
American Association of Avian Pathologists (AAAP),2023,1
Wolters Kluwer,2022,1
Wolters Kluwer,2018,1
Wolters Kluwer,2016,1
